,content,sentiment
10784,leather jacket uncomfortablenot thing,empty
10785,omg grr parent leave probably 15 minute ago belgium typical wake stupid oclock,hate
10786,make prank call,fun
10787,jeremy make want sushi,neutral
10788,almost comfort know ldn people work beautiful day get skin cancer want office,worry
10789,unfortunately yesnot outside,neutral
10790,listen music kate voegele really great,love
10791,yeah check pretty nice site,worry
10792,field day gt classnot win,sadness
10793,well see i have blah blah blahe muchyep forget i be sorry i be,sadness
10794,hereby proclaim officially summer awesome today i be stick inside chilly office,happiness
10795,oh trouble paradice,worry
10796,ahh know spose take dad airport next wek fasho,neutral
10797,wonderful home wedding love youre,love
10798,talk cd release tonight stubb wish could go support,neutral
10799,i be get another one there s 1 alfie,sadness
10800,tell em english special quality come cuss welcome fun dutch,neutral
10801,make beat,fun
10802,walmart orientationit work seriouslythis suck,sadness
10803,ur suppose bk tho,surprise
10804,do not think look without feel heartbroken lmao x,worry
10805,translation complicate sht someone go teach,neutral
10806,hey get text sms plan maybe catch flick tonight last night wee bit much,worry
10807,second last biology first time ever time haha,happiness
10808,nan,empty
10809,sad nothing,sadness
10810,happy mothers day,happiness
10811,really need study many book many update,neutral
10812,damn drunk hot suck,worry
10813,wonder put bet cub win world series 2015 due bttf ii i would love actually happen geek,worry
10814,happy mothers day,love
10815,vice president social cultural affairs southwestern college,happiness
10816,hardknock life,neutral
10817,hey david i be wonder receive letter song malaysia please reply nice day,happiness
10818,oh that s baby picture try convince i be still cute heheh,love
10819,lol yes totally agree blog well,neutral
10820,sadly david tennant leave particularly want job anyway,sadness
10821,swine flu temperature screening feel like criminal cold,sadness
10822,hi think u try ph vietnam really quite delicious,fun
10823,hey hey problem,relief
10824,speak new tweeple get acquaint never speak,worry
10825,good morning twitter,worry
10826,watch jobros live chat live though haha,surprise
10827,there s one cherry dr pepper left fridgethank god i be addict stuff sad thing skin,sadness
10828,yet never texte backk,sadness
10829,old answer ultimate question life universe everything that s 42 nonhitchiker guide fan,neutral
10830,good sticker ever also dig hair get long since i have see last,sadness
10831,feel good,worry
10832,poker night instead kate voegele guess it will,fun
10833,can not follow 1 followfriday lol u guy follow,neutral
10834,goodnight twitterverse,happiness
10835,work weather beautiful,love
10836,hmm maybe time really react worst,hate
10837,thank,worry
10838,wake appear miss much,surprise
10839,i be lonely werkin,neutral
10840,mobile phone checkin another fail americans service come close crash gate i be 0 3,hate
10841,actually i would prefer rum gin i have prefer much previously,fun
10842,make new youtube background photoshop thank,neutral
10843,i be sure mean blowin joint rb ladypn lol lol good one httpblipfm5z2zo,worry
10844,would know phone,happiness
10845,way home nythen sleep,happiness
10846,go 2 watch dogtown hope sad,worry
10847,promise post new mini magical village today weather perfect see preview httppengpengsplaceblogspotcom,fun
10848,lie yet see good look man,neutral
10849,band practice,neutral
10850,i be go kill tt waste hundreds download realise get wrong one,worry
10851,btw happy moms day hannah mom hans mom yey moms unite day,love
10852,what s go,worry
10853,really can not take,sadness
10854,miss never want come homeseriously,sadness
10855,go aw,surprise
10856,bleargh never clean much house want work matter early wake today sink laundry,worry
10857,smudger clean httpappsfacebookcomcatbookprofileview5726504,surprise
10858,leave minneapolis homework go watch brother tennis match later,neutral
10859,happy mothers day beautiful mom day cherish good woman live,happiness
10860,happy mothers day mom hope breakfast nice love u,love
10861,btw ear get well time finally say goodnight twitter world even though y all already asleep xoxo,relief
10862,science history math nice outside,worry
10863,old pub kickin time whey late i be stinkere get cubs tomorrow i be gon na suffer,sadness
10864,half twitterer enjoy wonderful sunday afternoon offer,love
10865,i be consider buy one hence monk look httpbitly9vbzg,neutral
10866,likewise well ask appreciate neglect sir fresh,sadness
10867,send blessing,neutral
10868,hey thank follow,fun
10869,aww ones msn,surprise
10870,ohh twpp fall silent waiting track ur us version next time maybe btw sunny california sound good,happiness
10871,view atlas mountain morocco across straits gibraltar take day europa point gib,happiness
10872,hey charicee u go come italy please tell yes,neutral
10873,could get money mikey time trust make sad,worry
10874,ah lets start work livingroom come,fun
10875,add myspace wmyspacecompwnageorg pcfopc,enthusiasm
10876,nothing wan na go,empty
10877,love life lately look forward go see samantha hang natalie right,love
10878,woo make follow,happiness
10879,damn real sorry hear,sadness
10880,push amazing,happiness
10881,want trip boston next month nee additl motivation save beloved daughter want go 2x,neutral
10882,must kid boy definately hope anyway oo girl probably honest must proper ugly noone like,sadness
10883,supper tonight kurumi 10 minute,happiness
10884,nope way stop put wiv,neutral
10885,leopold say hello,sadness
10886,little time rio de janeiro forgive babelfish,fun
10887,ok ermm ill meet gym half four,enthusiasm
10888,sleepy tired want go practice,neutral
10889,portfolio v2 uploaded comment feedback warmly welcome httpwmaxiinnet,neutral
10890,phone disconnects internet right middle uber also first tweet inside steam,hate
10891,varsity fanclub never,neutral
10892,ca set p phone twitter,sadness
10893,hey hey andrew haha p well happy mother day mum,worry
10894,somebody instal vcenter server 4 window 2008 x64 w sp2 sp2 compability matrix,sadness
10895,nothing try keep 9 week old kitten lol full piss vinegar morning,love
10896,chillin homewatching movie tv make healthifie streusel coffee cake,neutral
10897,run outta bathroom pass maybe mrs french nice today,sadness
10898,he s back meet 40 min,worry
10899,really sad nephew keep busy sort item bwm httpbitlyn9tsm,sadness
10900,get distract i would like thank new follower take trouble follow other feelin love,love
10901,bbq time,happiness
10902,lolz dude stop get personal homegirl twitter lol,worry
10903,watch fashion show bravotv know show exist haha crave steak pancake mash potato ugghh,love
10904,work vacation thailand get excite every day,neutral
10905,hahahah tell tomorrow,happiness
10906,luckyyou get capoeira,happiness
10907,yes yes especially wine mushroom um love mushie,happiness
10908,well need get motivation also homework essay lovely day,neutral
10909,also lipton sparkle green tea gross,happiness
10910,eminems new song beautiful amazing listen magic right httpwmyspacecomsteve005,surprise
10911,ok 4 star trek fan give new movie good review get excite,happiness
10912,hobart sorry,sadness
10913,forever 21 ethan could,worry
10914,ugh reject 09 mediation program suck,worry
10915,great sunday wit kid mickey,love
10916,hurt finger work,sadness
10917,ca i be go outta twn 2night sory,sadness
10918,curious case benjamin button i be excite fuck movie,happiness
10919,fyi put makeup flourescent fail oh facepeely must look hideous also where s lipstick,worry
10920,hey jkwish evenlyn happy mothers day tomora great day gift ticket see yas ere oz,love
10921,sky terrestrial analogue,sadness
10922,sad miss friend,sadness
10923,tweet awesome fuck heat that s dencorub,worry
10924,whohoo erin get accept ottawa u nursing school algonquin pembroke campus may get girl back,happiness
10925,selfconfidence first requisite great undertakingsseem like u r right trackkeep remind follow u,neutral
10926,omg rate 10 star,surprise
10927,black russians make think white russian movie quotation rug really tie room together,worry
10928,finger hurt cause infect,worry
10929,sun finnaly be not sleep need sleep,relief
10930,wait electrik red richgirl i be sucker later,worry
10931,glad i be uni anymore,neutral
10932,oh that s,surprise
10933,ams good us gmtish people think look forward hope battery laptop recharge soon,worry
10934,bad dream can not go sleep keiligirl 254,sadness
10935,morning lovely day last,love
10936,hope son okay,worry
10937,hey hey,neutral
10938,baby drunk bring home hour pass carry car,worry
10939,happy mothers day mama always heart,love
10940,omg famous amanda woman person thingy hug around,enthusiasm
10941,miss earrings lol let know close,worry
10942,i be starve diet kill ca eat 8p,sadness
10943,neville 88 jbeauty gud enuh hunwas jus sayin hi n hopin ur avin gud nite far happy lady day 2moro thenis dat better,love
10944,write back,neutral
10945,oh i be sorry ca even imaginealthough know reality soon,sadness
10946,slept 12 hrs body ache,sadness
10947,see star trek tonight super stoke,happiness
10948,earth happen wentworth page i be devastate i be sure fan,worry
10949,accept ca anything,worry
10950,aspitar hospital doha amazing great service nice building free wifi win,sadness
10951,remember kid grenade go soon tidy house,neutral
10952,wish nicky home,happiness
10953,ill keep mind decide add la leg westt coast stint june,neutral
10954,cam sesh line tomorrow c4s winner ill post screen shot lj friend unless convince otherwise,neutral
10955,sure,neutral
10956,mothers world happy mothers day,love
10957,look website work,happiness
10958,oh hope get well show argentina good luck,surprise
10959,wan na see movie keith jmccartney look good none video store carry,love
10960,omg gross relay tonight,surprise
10961,beautiful weather u sick baby tanapolis,worry
10962,eat breakfast drinking coffe strong coffe,neutral
10963,love fatty take away night yummy come home facespacing roomie,worry
10964,man way nice outside work,happiness
10965,i be try make like successful far haha,fun
10966,u sd weekend let grab tacos tomorrow something u free,neutral
10967,wan na go shopping get pay till next week,sadness
10968,get approximately 3 hour sleep last night love life,love
10969,tough life lead,neutral
10970,that s twitter rock,love
10971,friend awesome non twitter one right,neutral
10972,must time month watering eye speciaal voor zo vind ik ze w l leuk,neutral
10973,do not know follow sme ppl e anoye boring note self unfollow peep monday morning,boredom
10974,life bore without,sadness
10975,love scandalous,neutral
10976,stomach kill j ca sleep,hate
10977,happy mothers day mom mommy mom qood one lady,love
10978,exactly hate drive thru dandy sittin light next car asians r callin 1 hold knife scum,hate
10979,ready new week,neutral
10980,suck,hate
10981,okay ill finally get meet dia that s name right oh geez ill feel stupid,worry
10982,excited ysj summer ball wish one,neutral
10983,know supervillian fail see january warfield sf legit show sure,surprise
10984,aw feel better mandy hope get sick least know nurse hehe,fun
10985,make feel well saturday night lame well heart,worry
10986,damn call,sadness
10987,hahahha lol true always remember bd never remember date even day,happiness
10988,angel even though i be probably third angel demon,worry
10989,honestly can not wait wednesday chemistry exam get real bad,worry
10990,hahahaha nice give bio cos idk hell i be hello chem,love
10991,go cd store search cd,sadness
10992,i be tire i be good mod,fun
10993,boy girl lie aw santa real either,sadness
10994,thank find link however think need customer download,neutral
10995,gnight world vacations end day,sadness
10996,think aaron pretty darn awesome,love
10997,beach nannys get back roast iater pudding,neutral
10998,yvonne thank 4 ffrecommend lovely profile photo agree w u sleep lol 546,love
10999,headache large headache little dizzy feel ill yucky,worry
11000,really good bank hoilday,happiness
11001,feel lonely need good friend,worry
11002,trouser damp,worry
11003,finally go,relief
11004,heey awsome god bless,love
11005,umm ya mean ship,surprise
11006,where s music man inbox still empty,hate
11007,desperatly hope dad take vanessas game,worry
11008,get light httpbitlyoasqr,neutral
11009,wake early go gym,happiness
11010,babe,love
11011,please snl every week could quit laugh u snl good nite ever,relief
11012,finished work midday kiddie dinner getup go ah well bank holiday fb,surprise
11013,hell itunes music library even bipolar,worry
11014,enjoy know,surprise
11015,prefer overcast day sorry hot,sadness
11016,aawh bad,surprise
11017,figure twitter phone,happiness
11018,still 4 hour home day begin gon na drink lot coffee today,neutral
11019,work away hopefully stay nice afternoon evening possible bbq weather,neutral
11020,go miss roomie long roomie start tomorrow,sadness
11021,do not know pimp twitter page,neutral
11022,fuck elora danan break i be miss last nsw show def need hit melb someone come,sadness
11023,wish could special someone,neutral
11024,use eat often company since move des plaines eat wendy,neutral
11025,safely say wo euro winner week,sadness
11026,say good morning everyone happy mothers day mother hope h httpplurkcompstq3f,surprise
11027,0531 mark end roommate era never make empanada,worry
11028,woot interview go awsome get talk mr johnny think oh well still really good,happiness
11029,aww i be sorry rush around lunch break even think,worry
11030,ca wait see set goal leed lot website work today,happiness
11031,good day house,sadness
11032,hahaha u use phone everywhere use wifi,neutral
11033,would he s premiere avatar footage ca also better hang,neutral
11034,ughh feel rubbish,hate
11035,wait 5 p.m. go drink one work belinda leave today least sun shine,relief
11036,good morning chairman board wyoutubecomwatchvivfm0pyyucy live thing,neutral
11037,happy anniversary hope many many good us,happiness
11038,ahh juz get new rapidshare account last till oct 09 10 gb download limit daily,happiness
11039,i be scare bruise,worry
11040,watch,neutral
11041,eesh sorry hear go make travel michigan fun,worry
11042,hi lady sorry delayed response appreciate luvwill month how s everything go,neutral
11043,raise hand oh oh caffeine,neutral
11044,happy mothers day hope tom get something special enjoy day xo,happiness
11045,welcome,neutral
11046,wendy going wish,neutral
11047,moonlightflight try dloade twitterfox,neutral
11048,10th 2 month,happiness
11049,miss puppy,sadness
11050,happy mothers day,love
11051,problem blackberry ugh need another charge battery least 4,empty
11052,heaven bryan adams,neutral
11053,first pos,neutral
11054,oh know feel damn representative bank america try make sound like b,worry
11055,haha head big awh lol,fun
11056,e3 2009 first time get see g4tv e3 coverage since comcast moved g4 channel basic cable premium,worry
11057,back track transcription process still ca stop lappy overheat though,neutral
11058,know nds torrent file guess u gh mettallica christine bring today ps3,neutral
11059,find garage sale 150,neutral
11060,really want go see haha cute,enthusiasm
11061,get ipod touch download app,neutral
11062,bee busy talk buddy yahoo,sadness
11063,like,neutral
11064,anybody new song idea,fun
11065,thank,happiness
11066,wow 410 nowyour really kickin careys butt competition see soon,sadness
11067,21month daughter seperation anxiety intense killing can not leave sight without break anxiety attack,neutral
11068,another hd lecturer gob smack good presentation,happiness
11069,aww miss least get go home right,love
11070,buy little plastic personal wine bottle jewel perfect rooftop boozin wish wait long,fun
11071,fuck traffic go late,worry
11072,aww congrats family send piccie email,happiness
11073,sad end softball season,worry
11074,u go vegas like u last year think around time u kill animal ur old car lol,worry
11075,take willy specialistpoor dog get ct scan cos ca walk properly atm,worry
11076,study,worry
11077,sabi ko nga light hazardous health get shoe thank love,neutral
11078,take mum jewellery shopping coffee mother day,happiness
11079,book bloggers panel list anywhere program tomorrow 2 p.m. room 1e15 bea09,worry
11080,yeahh uh sure i be feel new jonas song yet,enthusiasm
11081,there s something sexy blonde cowgirl rubbing field httpworldsbestpornmoviescomfaithmov3htm,enthusiasm
11082,haha get email truth follow twitt sign need away obscure mind game,neutral
11083,find control left hand people like twitterrific excellent,surprise
11084,hahaha love u throw pet thing love ya much,love
11085,ack ghost whisperer damn network lucky give walk line place f ckas jp hawt 0,surprise
11086,want go falkland can not cause stupid exam mtbcut go,hate
11087,nan,neutral
11088,ready trip ready leave baby,worry
11089,worry go abp right want something,neutral
11090,haul video come,neutral
11091,score two day get food stamp good cause want safeway pizza,happiness
11092,yep sang song,happiness
11093,make pitch,worry
11094,aww yeah fun revise other get distract easy yeah i be tired revising history,fun
11095,finally get bed night tweeple,worry
11096,listen music texte umm msn lol bit bored lol garth brooks wo love hehe 3,worry
11097,tired make stop merm go fun tonight,worry
11098,grrfatboy slim edc lineup,sadness
11099,mad raining,worry
11100,feel sick stomach today,worry
11101,love,love
11102,sux gabe tell go afterparty i would work ca go,sadness
11103,migraine fight way back last night,neutral
11104,go bed soon,empty
11105,oh come perth suck still rock,relief
11106,back,neutral
11107,wake nap finally get sleep need,relief
11108,i be sorry hear,worry
11109,awesome book ca wait film enjoy scare x,happiness
11110,finished village love could watch wonder ca get sleep tonight,love
11111,nan,neutral
11112,leave get angry teethe pull,sadness
11113,monday monday mr cade home couch lot today,fun
11114,come chile band everything happen far away lol lose good live music,worry
11115,es imposible amar starbucks,surprise
11116,foreverr almost happy mother dayy yay,happiness
11117,want move qld already cold weather killing,hate
11118,miss bby wish go tomorrow make good,neutral
11119,look awesome heel yet afraid,worry
11120,want leave work early today stuff keep accumulate friday monday disguise lol,empty
11121,come add new twitter fan,fun
11122,yes nba song great get old funny nba cheerleader remix song ohrwurm day colorblind,happiness
11123,glad trudge first 60 page anathem pg340it long time since want call sick read,neutral
11124,ugh go 2 new phone screen black mean texte,sadness
11125,mcfly good band ever wish watch concert singapore place they would tour,love
11126,gon na ask boom boom morning,sadness
11127,drive work run late like always time starbuck,sadness
11128,wait cool slide door that s oxymoron,happiness
11129,love david much 3,neutral
11130,cold ugly,sadness
11131,wangotango lol,neutral
11132,think rate ill class 4 sigh,worry
11133,heart hurt,sadness
11134,need food take hour get work morning leave time get morning coffee bagel,worry
11135,cry eye watch girl last period hahah,sadness
11136,63 day summer holiday leave go way slow school get,empty
11137,imissu come back home honey,worry
11138,summer farn lai ba ah,neutral
11139,gon na paint oh well,neutral
11140,wish watch video freeze next weekend bring edea without die,love
11141,funny outgoing email issue day thank god seperate adsl 2 connection,worry
11142,good way start day,neutral
11143,yes indeed make bitch try design universally,hate
11144,nan,neutral
11145,thank real name nadia,neutral
11146,denial fucking truth,empty
11147,get limit sell 94 even pretty much cover commission like entry one,worry
11148,listen faith spirituality internet,enthusiasm
11149,nan,empty
11150,go logan square pretty sure shirt 1 philly local tmrw,neutral
11151,can not sleep i be sore move,worry
11152,hi get try new resto yea fuunn let dinner get back,happiness
11153,good morning,happiness
11154,i be suppose bug fix i be twitter good enough twitter work bug fix go,worry
11155,haha may hehe may import love heat love play football hot day,happiness
11156,i be back hungry hell have not eat today,neutral
11157,get home let us connect god constantly,sadness
11158,many 8 1 get delete send 2 day ago cry rr,sadness
11159,think revise garden 8 morning without sunscreen be not good idea i have ouch,surprise
11160,window 7 user tip make default install take 15 gb know would big srsly,worry
11161,bgt ca watch anymore,neutral
11162,besides strep like 10 year reason i be tire anything else,sadness
11163,hate biatche world,hate
11164,go beach today,neutral
11165,denial powerful,neutral
11166,2 week school include weekend omg right i be excited yet scared omg ah ca wait grad,worry
11167,cool i be glad everyone nice date night maybe one day ill get one,happiness
11168,much bro,surprise
11169,ok hit point relaxation head bed sleep well happy mother day mom night,happiness
11170,internet pocket edge network denver sob,sadness
11171,work boo pinup play uncommon ground wednesday night 9 p 1401 w devon ave chicago 60660,neutral
11172,shake shake shake shake shake,fun
11173,i be start get really dizzy tour philippine we would feel bliss know effort worth,worry
11174,may 4th happy star wars day starwarsday geek dork fb awesome,love
11175,sadly first rodeo dear suspect learn lesson,sadness
11176,bad linz rather sheesh text finger broke,neutral
11177,give mommy mother day present purple ipod httptwitpiccom4wcpt,neutral
11178,least legal kuwait u drive suv u get ticket big smile,hate
11179,never alone love that s really know,love
11180,sweet livin saturday night,happiness
11181,home marco island miss girl alreadyback work,sadness
11182,need code,neutral
11183,yumvery nicee,fun
11184,work damn financial project definitely fun weekend want spend wit baby wah,enthusiasm
11185,read maltese sunday newspaper coffee ah glorious sunday,happiness
11186,bow glad service,happiness
11187,drink instead beer airport beer least carbonate httpmypictme1zu9,sadness
11188,rain calicut,neutral
11189,thank mama,love
11190,nan,neutral
11191,part enough space one drive properly defrag nowhere else put stuff yeah reassemble,worry
11192,oh damn suck,hate
11193,burn fuck hand today,worry
11194,western digital caviar black 1 tb sata 300 ncq 32 mb way,neutral
11195,know imux 10 refer ah miss,happiness
11196,dyed hair,neutral
11197,watch friend reduce stress inside thank bright kauffman crane create series love love love,love
11198,poor lil jman fever ca wait go home hold little man,worry
11199,wife get stung bee act like big ass baby ever since 5 hour ago lol baby,fun
11200,thx nice go alright mail yes course leave comment blog cheer nap,love
11201,i have get cold every time i have fly somewhere 6 hr away past year hope back pool bike next week,worry
11202,misses quil far away nickleback httpblipfm5z639,surprise
11203,give follow seem really nice clutter hell feed get annoying,love
11204,workout do today time get ready work,happiness
11205,another prof pic,empty
11206,what s video can not watch,hate
11207,sad clint hurdle get release like,worry
11208,fatty omg find bad shit idk need talk hopefully see get work,neutral
11209,ps rainge,sadness
11210,fact coolest guy know,love
11211,raininghad 2 leave beach,sadness
11212,awesome tweeple,fun
11213,need show reel nxt weekthen start apply edit job rock climbing tomos hope,worry
11214,truck full silver bar implode delay us hour even get bar trouble photo,sadness
11215,hi agree small child run happy breaking tear,neutral
11216,oh ok well good youcan get weather update instead jk,neutral
11217,aserej ja deje dejebe tudejebe de sebiunouva majabi de bugui de buididip learning spanish song,neutral
11218,do not noe eat breakfast hm i be hungry,worry
11219,wats world x basketball game good shooter team idk shooter existe lol understand haha,fun
11220,disappointed human kind what s wrong world five girl garden innocently enjoy good weather,hate
11221,macrina bakery,happiness
11222,steal stuff burie fence embarasse man return much frog,neutral
11223,oh play cluedo,surprise
11224,keen skydiver take thousand time plane rarely land,fun
11225,get new high speed machine stuff late technology development office z crash,sadness
11226,si pero parece que las personas de facebook estan de acuerdo probably wrong try,worry
11227,justwatche like 5 straight episode escape i would discovery channel guy imprison 6 woman kill 2 cook,neutral
11228,may broken text message,neutral
11229,grey bank holiday watch wallace gromit cheer,fun
11230,oic cavite sorry i be america see profile there s word like america,neutral
11231,go busy today funny hate busy day,hate
11232,ubertwitter still give error msg smh suck,worry
11233,ca believe come near place ca get love jenny,love
11234,nina lap decide jump,neutral
11235,look like hide money offshore bank account behalf lastfm httpbitlycet0s,neutral
11236,rock home maccas signing petition big bang tour aus lol,happiness
11237,please get watch bb,worry
11238,freak bit cross finger thing work ok,worry
11239,sad day tell student last year lot cry since,worry
11240,think gon na rain,happiness
11241,begin think sun blcok haox,anger
11242,take 1 endorsed spot twindexxcom thank endorsement,happiness
11243,sound like perfect way spend sunday evening enjoy,happiness
11244,garden go well almost corn pea onion beet yet though,worry
11245,bt gamer like 2 year make attempt lol yea luvd f1 extent,love
11246,officially resign never know tink mean,sadness
11247,love already get plan go queen mary,surprise
11248,looked page realise radio show get play call want love track,happiness
11249,topic map talk balisage markup conference 2009 program online via topicmap,neutral
11250,wonderful gerrard score 2 top league moment hopefully city help us today,surprise
11251,ur linky worky,sadness
11252,need buy iphone good app work wifi though,worry
11253,stuck huge traffic jam,hate
11254,want get hand dirty fubumvc document yet complete,fun
11255,dammit hulu desktop totally screw ability talk particular port one dev server ca watch code,hate
11256,want see badly,love
11257,know like cause i have never ask bout himoh well guess right feel abit better,worry
11258,la fitness work right nowpretty busy morning,worry
11259,happy mothers day mom,neutral
11260,nice visit last night boy voracious stubble anyone know raw chin haha,love
11261,glue stuff onto poster,neutral
11262,watch britain get talent poor holly,worry
11263,wait till england wc t20,fun
11264,haha may yo,happiness
11265,back revision bye bye hannah 3,neutral
11266,morning peep need get know ill around httpblipfm5jtyh,fun
11267,go visit sister today grumpy ill chill home family visit tomorrow,neutral
11268,finally plug listen flashpoint http wkpfaorg shoutout miss segment chevron,happiness
11269,plane yosemite forget laptop home,worry
11270,audioo,neutral
11271,miss,sadness
11272,depend drink drink many mate joke fail,fun
11273,la unified summer school drastically cut due ca budget cut sad,sadness
11274,ca buy nokia n97 amazon say ship address,surprise
11275,get back exam i be surely gon na failnow try 2 get ticket 4 il divo someone do not want us 2b,worry
11276,happy mothers day mommy,love
11277,today go long day,worry
11278,today alot fun love family sammy hernandez caitlin hughes goodnight,worry
11279,fare lady body nap work,sadness
11280,goodnight twitterworld ill tweet y all later goodnight j,happiness
11281,come back germany yesterday five day uk,neutral
11282,get impatient turnaround time repair break arrival new espresso machine fb,worry
11283,smile follow please lol,happiness
11284,bgt oh weird,worry
11285,see gf 5 day row hour day amazingjust wish location hospital,love
11286,go duster shoping greenhill mom balikbayans,neutral
11287,happen i be go uhoh,worry
11288,movie popcorn time,neutral
11289,happy mothers day y all damn son takin coolness weakness good keepin positive,love
11290,mitchell try add xbox live lastnight live show friend list full,sadness
11291,cover tomm event baby i would like live blogging,enthusiasm
11292,still plenty food leave thank come ca wait see picture come,happiness
11293,thank share anything coffee good i be big fan ca live w,neutral
11294,anal sex forget lube damn may need go e r,worry
11295,make look old picture cat want kitty,love
11296,think taylor laughtner selena gomez cut couple love read fave mag,love
11297,ok realise early join cult mac nvm,empty
11298,try go get message page exist,worry
11299,geography revision earthquake boring,hate
11300,almost lunch time,neutral
11301,omg get black eye deck card choke laffy taffy officaly do school sad,surprise
11302,girlie r leavin today vanessa ill c u ur black mean back reese ill c u sunday,worry
11303,agree good miss eat tho,love
11304,oh darn forget phonecall make since monday great they be close,neutral
11305,twitter look funny someone help,worry
11306,buy dress yesterday 12 day til chris home excite gavin first tooth,happiness
11307,william shatner version rocket man head 3 day fucking distract,hate
11308,i be cobra mexican bird flu hub gay bar hate play 80 mix oh shit freeze frame,happiness
11309,happy mothers day everybody,love
11310,hot texas ac upstairs break really hot house,sadness
11311,copy paste fuck cunt tosser piss flap 10 time,hate
11312,recover mexican fiesta bit much good time,happiness
11313,aww chamber callback soo emotional,enthusiasm
11314,first thought i have never even watch dragonball,neutral
11315,ff plz follow follow starbucks tag friend ironchef drop 2 3,neutral
11316,shower back bed sick still,hate
11317,eh may drive chitown way coloradomaybe ill get one,empty
11318,absolutely love thank,neutral
11319,weather hot mayn cnt take n styl be not get ride flu n want baby bk,neutral
11320,make sad,sadness
11321,feed today noone available comment,hate
11322,another note totally love pic dadold pic httpbitly18aeg8,love
11323,absoute best,love
11324,yesterday awesome sunny day good friend good food ton fun could ask,happiness
11325,yawn slight headache n hangover gr,sadness
11326,teeshirt far small like much stop wear,neutral
11327,still awake work 8 good,worry
11328,play rico growl,neutral
11329,scooby he s different rest,neutral
11330,happy mothers day,love
11331,find monday busy day come work 100 thing cause boss work weekend,hate
11332,oh ok come x,worry
11333,oh love oreos u ca get many variety uk,love
11334,gawd people still remember pregger comment hate,worry
11335,i be incredibly happy person 100 energy love dance laughthe thing know i be one earth ppl,happiness
11336,drive teeny tiny honda civic httpmylocmefry,neutral
11337,feel good,worry
11338,cruise serious eat ny bode well future ga miss nyc gastronomical tour httpnewyorkseriouseatscom,worry
11339,anyone know good png compression tool os x try pngcrush do not run,neutral
11340,farmer sunburn ah,worry
11341,dude rock,love
11342,happy six month,love
11343,cambie slightly event leave wait feedback though ill keep u post,happiness
11344,lousy mofo landlord need focus kid pack can not nevermind sew sleep bag,hate
11345,nice young guy dunkin donut let go first,love
11346,stormy,neutral
11347,poor kitty there s nothing do hopefully least able find good home,neutral
11348,ca class tomorrow audition 10 a.m. free 11 3 u wan na work,love
11349,aw boy beard like manly manness via asylm,love
11350,art party crazy artist bite padestrian skanking,neutral
11351,finally way home,happiness
11352,oh ya,worry
11353,spoke soon still nice evening lot broken cloud come south,worry
11354,that s get abandon us ill miss,sadness
11355,think limit 140 letter really fair 300 would better,surprise
11356,wavin,neutral
11357,monday yayy nee get demi lovato ticket sell,happiness
11358,i would like put fruity article website permit,happiness
11359,icant live can not live lmao oh btw owch foot hurry plaster i be go bleed death,surprise
11360,haha i be jewish love one,love
11361,get work everywhere article etc love,love
11362,hi hun really love tutorial yday much one good tutorial watch long time xx,love
11363,sorry loss know feel lucky cat,sadness
11364,always traffic head back long island friday,sadness
11365,well i be try get rid lot stuff could come pillage,relief
11366,lol overcast otherwise ok i be tired otherwise ok,happiness
11367,hope get spend weekend home,neutral
11368,tweet much even pay attention,worry
11369,grovel tomorrow morning post link show 9 a.m. anyone,neutral
11370,monday will not able love,worry
11371,fries arizona 1130 that s thing eat today feed,neutral
11372,great song,fun
11373,hm ever realize incredibly overrate tokio hotel become make sad,worry
11374,sorry,worry
11375,feel like failure morning,sadness
11376,tgif resto home dayuum expensive,surprise
11377,fav song uhhonestly rude u make us choose lol love em,love
11378,want come bz summer sure anymore teacher life summer suck,sadness
11379,station morning showthen gym damn paper crazy takers anna lmfao,fun
11380,go go check phone message remember do not phone anymore,neutral
11381,time start unfollowe people think,neutral
11382,6 5 star reviews canada least talk like canadian incident,neutral
11383,like sick guidance counsellor suppose take 35 kid school bowling pizza,sadness
11384,well cross finger another year lot hope heart see thx gnight,fun
11385,little late congratulation leah happy mothers day,love
11386,bored,empty
11387,i be look like legitimate profile ill counterfollow picky follow back,neutral
11388,hahaha even notice name lice,surprise
11389,ca keep eye open shut eye,worry
11390,want one bad get one,enthusiasm
11391,noo sorry loveafter i be go pop 7 zyrtec go sleep,worry
11392,yeah go wrong bad feeling ever,worry
11393,bruise toe bad finger fuckin hurt right even ice,hate
11394,love cancuks 3,love
11395,i would rather go matinee work still debate whether go cos go alone fun haha,sadness
11396,awesome spend day studyin chillin lil b4 go bed slowly gettin colder paraguay winter comin,worry
11397,hey sorry get last night,neutral
11398,love americana movie see,sadness
11399,commie fine youtube blogger block china update us china great wall conquer,worry
11400,hey oh remember take time actually enjoy day i have load better crack fun today,love
11401,today good 3 eff yeah 3,happiness
11402,yeahh yeah hifi lol grr dad pain say do not find anyone go can not go,worry
11403,way way way early amthank,empty
11404,yay sherbert chocolate nutritious,happiness
11405,possibly go tonight anything lancaster miss baltimore,sadness
11406,enjoy cool breeze beach help relax unwind,neutral
11407,talk anais anymore,hate
11408,except josh like lame dude,hate
11409,step 1 photoshop expert httpplurkcompros47,neutral
11410,great see oin cynthia happy dinner great cute little place bad oin get sick afterwards,happiness
11411,frown us google alcohol work,worry
11412,get watch tht sweet,love
